Brand,Rating,Processor,Display,OS,RAMSize,RAMType,Storage_HDD,Storage_SSD,MRP
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
DELL,4.3,Intel Core i9 Processor,39.62,Windows,16,DDR5 ,0,1000,235283.0
DELL,4.0,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,38990.0
ASUS,4.5,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,512,67990.0
MSI,4.5,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,0,512,79990.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.5,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,512,67990.0
MSI,4.5,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,0,512,79990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.3,Intel Core i5 Processor,39.62,Windows,16,LPDDR5 ,0,512,89990.0
ASUS,4.7,Intel Core i9 Processor,40.64,Windows,32,DDR5 ,0,1000,241990.0
ASUS,4.3,Intel Core i5 Processor,35.56,Windows,8,DDR4 ,0,512,43490.0
realme,4.4,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,46990.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
Vaio,4.0,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,40990.0
APPLE,4.7,Apple M1 Processor,33.78,Mac,8,DDR4 ,0,256,94990.0
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
MSI,4.5,Intel Core i7 Processor,39.62,Windows,16,DDR4 ,0,1000,114990.0
APPLE,4.6,Apple M2 Processor,33.78,Mac,8,Unified Memory ,0,256,121990.0
ASUS,4.1,Intel Pentium Silver Processor,35.56,Windows,8,DDR4 ,0,256,27990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,194990.0
Lenovo,4.3,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,44990.0
DELL,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,40190.0
Lenovo,4.1,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,34990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.7,Intel Core i7 Processor,35.56,Windows,16,LPDDR4X ,0,1000,94990.0
Lenovo,4.4,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,69990.0
ASUS,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,59990.0
ASUS,5.0,Intel Core i5 Processor,35.56,Windows,16,DDR4 ,0,512,66990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.3,Intel Core i7 Processor,33.78,Windows,16,LPDDR4X ,0,512,104990.0
DELL,4.3,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,54900.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
Lenovo,4.7,AMD Ryzen 7 Octa Core Processor,40.64,Windows,16,DDR4 ,0,1000,136990.0
DELL,4.3,AMD Ryzen 5 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,48184.0
ASUS,4.5,Intel Core i5 Processor,35.56,Windows,16,DDR4 ,0,512,74990.0
acer,4.8,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,60990.0
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
HP,4.2,AMD Ryzen 5 Hexa Core Processor,35.56,Windows,8,DDR4 ,0,512,49990.0
DELL,4.4,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,67990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,194990.0
Lenovo,4.3,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,44990.0
Lenovo,4.3,Intel Core i5 Processor,35.56,Windows,8,DDR4 ,0,512,58000.0
Infinix,4.3,Intel Core i3 Processor,35.56,Windows,8,LPDDR4X ,0,256,29990.0
ASUS,4.3,AMD Ryzen 7 Octa Core Processor,34.04,Windows,16,LPDDR5 ,0,1000,114990.0
HP,4.3,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,33990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
ASUS,4.4,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,16,DDR4 ,0,512,64990.0
Lenovo,4.3,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,0,512,79990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
Infinix,4.2,Intel Core i3 Processor,35.56,Windows,8,LPDDR4X ,0,256,28990.0
ASUS,4.5,AMD Ryzen 5 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,56990.0
